Generators,Resources,Periods,Problem size,Number of variables,Generated energy annealer,Commitment annealer,Start-up annealer,Shut-down annealer,Operational cost annealer,QPU access time,QPU charge time,QPU run time,Generated energy classical,Commitment classical,Start-up classical,Shut classical,Operational cost classical,CPU time
10,natural_gas_fired_combustion_turbine,19,480,1776,45.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,48.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
10,natural_gas_fired_combustion_turbine,2,480,1776,45.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,48.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
10,natural_gas_fired_combustion_turbine,20,480,1776,25.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,29.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
10,natural_gas_fired_combustion_turbine,21,480,1776,26.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,22.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
10,natural_gas_fired_combustion_turbine,22,480,1776,43.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,22.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
10,natural_gas_fired_combustion_turbine,23,480,1776,27.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,22.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
10,natural_gas_fired_combustion_turbine,3,480,1776,38.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,48.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
10,natural_gas_fired_combustion_turbine,4,480,1776,44.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,37.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
10,natural_gas_fired_combustion_turbine,5,480,1776,36.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,22.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
10,natural_gas_fired_combustion_turbine,6,480,1776,34.0,1.0,0.0,0.0,1560705.0019,0.016049,5000000,5069315,22.0,1.0,0.0,0.0,1433901.2051000034,0.4048891820020799
