Generators,Resources,Periods,Problem size,Number of variables,Generated energy annealer,Commitment annealer,Start-up annealer,Shut-down annealer,Operational cost annealer,QPU access time,QPU charge time,QPU run time,Generated energy classical,Commitment classical,Operational cost classical,CPU time
10,natural_gas_fired_combustion_turbine,20,480,912,46.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,48.0,1.0,1376229.4403000025,0.26909623199753696
10,natural_gas_fired_combustion_turbine,21,480,912,0.0,0.0,,,1414906.7786000026,0.032043,5000000,5389736,48.0,1.0,1376229.4403000025,0.26909623199753696
10,natural_gas_fired_combustion_turbine,22,480,912,22.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,27.0,1.0,1376229.4403000025,0.26909623199753696
10,natural_gas_fired_combustion_turbine,23,480,912,22.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
10,natural_gas_fired_combustion_turbine,3,480,912,48.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,48.0,1.0,1376229.4403000025,0.26909623199753696
10,natural_gas_fired_combustion_turbine,4,480,912,48.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,48.0,1.0,1376229.4403000025,0.26909623199753696
10,natural_gas_fired_combustion_turbine,5,480,912,22.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
10,natural_gas_fired_combustion_turbine,6,480,912,26.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
10,natural_gas_fired_combustion_turbine,7,480,912,22.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
10,natural_gas_fired_combustion_turbine,8,480,912,22.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
10,natural_gas_fired_combustion_turbine,9,480,912,0.0,0.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,0,480,912,34.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,1,480,912,34.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,10,480,912,34.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,11,480,912,34.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,12,480,912,34.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,13,480,912,0.0,0.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,14,480,912,34.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,15,480,912,0.0,0.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,16,480,912,34.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,17,480,912,0.0,0.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,18,480,912,34.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,19,480,912,34.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,2,480,912,34.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,20,480,912,34.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,21,480,912,34.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,22,480,912,34.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,23,480,912,34.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,3,480,912,0.0,0.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,4,480,912,0.0,0.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,5,480,912,34.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,6,480,912,34.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,7,480,912,0.0,0.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,8,480,912,34.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
11,natural_gas_fired_combustion_turbine,9,480,912,34.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,0,480,912,91.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,96.0,1.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,1,480,912,96.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,96.0,1.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,10,480,912,91.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,11,480,912,0.0,0.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,12,480,912,91.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,13,480,912,91.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,14,480,912,91.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,15,480,912,91.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,91.0,1.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,16,480,912,91.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,91.0,1.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,17,480,912,91.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,96.0,1.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,18,480,912,96.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,96.0,1.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,19,480,912,96.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,96.0,1.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,2,480,912,96.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,96.0,1.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,20,480,912,96.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,96.0,1.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,21,480,912,91.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,96.0,1.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,22,480,912,91.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,96.0,1.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,23,480,912,91.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,91.0,1.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,3,480,912,96.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,96.0,1.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,4,480,912,96.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,96.0,1.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,5,480,912,91.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,91.0,1.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,6,480,912,96.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,7,480,912,0.0,0.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,8,480,912,91.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
12,natural_gas_fired_combustion_turbine,9,480,912,91.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
13,natural_gas_fired_combustion_turbine,0,480,912,3.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
13,natural_gas_fired_combustion_turbine,1,480,912,3.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
13,natural_gas_fired_combustion_turbine,10,480,912,3.0,1.0,,,1414906.7786000026,0.032043,5000000,5389736,0.0,0.0,1376229.4403000025,0.26909623199753696
